,Unnamed: 0,ARTCLASS,ARTDESCRIP,BLOCKNBR,COMPKEY,DIRHI,DIRLO,FID,FLOW,INTKEYLO,INTRHI,INTRLO,NATIONHWYS,OBJECTID,ONEWAY,ONEWAYDIR,OWNER,PVMTCATEGO,PVMTCONDIN,PVMTCOND_1,SEGDIR,SEGLENGTH,SHAPE,SHAPE_Leng,SLOPE_PCT,SPEEDLIMIT,STATUS,STNAME_ORD,STREETTYPE,SURFACETYP,SURFACET_1,SURFACEWID,Shape__Length,TRANCLASS,TRANDESCRI,UNITDESC,UNITIDSORT,XSTRHI,XSTRLO
87,87,0,Not Designated,1800,11943,S,N,88, ,29073,NAGLE PL AND E DENNY WAY,NAGLE PL AND E HOWELL ST,N,881,N, , ,NON-ART,16,0,N,426.0,"{'paths': [[[-13616606.0372368, 6043467.4948526], [-13616606.2017019, 6043482.4347465], [-13616606.4438702, 6043504.40844508], [-13616606.4998276, 6043509.47936755], [-13616606.7991308, 6043536.67509942], [-13616607.0986357, 6043563.86929001], [-13616607.3980291, 6043591.06368425], [-13616607.6974268, 6043618.2582799], [-13616607.9969222, 6043645.45794402], [-13616608.1614165, 6043660.39930425]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",426.10329045412595,1,20,INSVC,NAGLE PL,Urban Village Neighborhood Access,AC, ,22,192.916146575089,0,NOT DESIGNATED,NAGLE PL BETWEEN E HOWELL ST AND E DENNY WAY,087800180,E DENNY WAY,E HOWELL ST
97,97,1,Principal Arterial,500,12043,SW,NE,98,F,29567,6TH AVE AND OLIVE WAY,5TH AVE AND OLIVE WAY,Y,891,Y,NE, ,ART,78,92,NE,322.0,"{'paths': [[[-13618536.3610141, 6042656.36362612], [-13618412.5997196, 6042733.1121428]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",322.397349043173,1,25,INSVC,OLIVE WAY,Downtown,AC/PCC,PCC,32,145.626895905373,1,PRINCIPAL TRANSIT ROUTE,OLIVE WAY BETWEEN 5TH AVE AND 6TH AVE,089500050,6TH AVE,5TH AVE
106,106,0,Not Designated,3500,12131,S,N,107, ,27025,PHINNEY AVE N AND N 36TH ST,PHINNEY AVE N AND N 35TH ST,N,900,N, , ,NON-ART,36,0,N,305.0,"{'paths': [[[-13620438.2920419, 6049056.73376405], [-13620437.8249364, 6049194.72110229]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",304.58499226306,5,20,INSVC,PHINNEY AVE N,Urban Village Neighborhood Access,PCC, ,42,137.988128841372,0,NOT DESIGNATED,PHINNEY AVE N BETWEEN N 35TH ST AND N 36TH ST,091150350,N 36TH ST,N 35TH ST
115,115,2,Minor Arterial,1100,12207,SW,NE,116, ,29878,MELROSE AVE AND PIKE ST,BOREN AVE AND PIKE ST,N,909,N, , ,ART,82,0,NE,322.0,"{'paths': [[[-13617592.3157726, 6042788.54543793], [-13617468.9152187, 6042865.23411134]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",321.643176570979,6,25,INSVC,PIKE ST,Urban Village Neighborhood,PCC, ,54,145.288847932967,1,PRINCIPAL TRANSIT ROUTE,PIKE ST BETWEEN BOREN AVE AND MELROSE AVE,091550110,MELROSE AVE,BOREN AVE
118,118,0,Not Designated,200,12238,S,N,119, ,29152,PONTIUS AVE N AND THOMAS ST,JOHN ST AND PONTIUS E AVE N,N,912,N, , ,NON-ART,0,0,N,420.0,"{'paths': [[[-13617902.1745307, 6043812.34060923], [-13617902.9735634, 6044002.56135419]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",420.136705614719,1,20,INSVC,PONTIUS AVE N,Urban Village Neighborhood Access,AC/PCC, ,0,190.22242313723498,0,NOT DESIGNATED,PONTIUS AVE N BETWEEN JOHN E ST AND THOMAS ST,092000020,THOMAS ST,JOHN E ST
152,152,2,Minor Arterial,900,12562,W,E,153, ,28772,REPUBLICAN ST AND TERRY AVE N,REPUBLICAN ST AND WESTLAKE AVE N,N,946,N, , ,ART,24,0,E,322.0,"{'paths': [[[-13618653.5452645, 6044397.62106345], [-13618508.3962683, 6044396.85478228]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",321.552547404447,0,25,INSVC,REPUBLICAN ST,Urban Village Neighborhood,AC/PCC, ,40,145.151018867666,0,NOT DESIGNATED,REPUBLICAN ST BETWEEN WESTLAKE AVE N AND TERRY AVE N,094550095,TERRY AVE N,WESTLAKE AVE N
153,153,2,Minor Arterial,1200,12566,W,E,154, ,29134,PONTIUS AVE N AND REPUBLICAN ST,MINOR AVE N AND REPUBLICAN ST,N,947,N, , ,ART,27,0,E,316.0,"{'paths': [[[-13618047.2534015, 6044382.23620014], [-13617904.6032954, 6044382.82522879]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",316.015529367782,7,25,INSVC,REPUBLICAN ST,Urban Village Neighborhood,AC/PCC, ,39,142.65132220295098,0,NOT DESIGNATED,REPUBLICAN ST BETWEEN MINOR AVE N AND PONTIUS AVE N,094550120,PONTIUS AVE N,MINOR AVE N
158,158,1,Principal Arterial,6500,12615,S,N,159,T,24498,ROOSEVELT WAY NE AND NE 66TH ST,ROOSEVELT WAY NE AND NE 65TH ST,Y,952,Y,S, ,ART,37,0,N,264.0,"{'paths': [[[-13616306.5889233, 6053092.83439544], [-13616307.7015768, 6053212.71032679]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",264.493668808954,5,30,INSVC,ROOSEVELT WAY NE,Urban Village Main,AC/PCC, ,40,119.88109489254299,3,MINOR TRANSIT ROUTE,ROOSEVELT WAY NE BETWEEN NE 65TH ST AND NE 66TH ST,094850650,NE 66TH ST,NE 65TH ST
164,164,1,Principal Arterial,300,12684,W,E,165, ,28886,4TH AVE N AND ROY ST,NOB HILL AVE N AND ROY ST,Y,958,N, , ,ART,81,0,E,322.0,"{'paths': [[[-13619959.1166608, 6044764.88723399], [-13619813.881577, 6044764.07767135]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",321.73002103761297,1,25,INSVC,ROY ST,Urban Village Main,AC/PCC, ,44,145.237340063776,3,MINOR TRANSIT ROUTE,ROY ST BETWEEN NOB HILL AVE N AND 4TH AVE N,095200035,4TH AVE N,NOB HILL AVE N
165,165,0,Not Designated,500,12687,W,E,166, ,28889,6TH AVE N AND ROY ST,ROY ST AND TAYLOR AVE N,N,959,N, , ,NON-ART,0,0,E,322.0,"{'paths': [[[-13619523.2717309, 6044762.46212527], [-13619384.3640649, 6044761.68487226], [-13619377.9526574, 6044761.64901077]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",321.916206873399,1,20,INSVC,ROY ST,Urban Village Neighborhood Access,AC, ,30,145.321348277314,0,NOT DESIGNATED,ROY ST BETWEEN TAYLOR AVE N AND 6TH AVE N,095200055,6TH AVE N,TAYLOR AVE N
166,166,0,Not Designated,1100,12692,W,E,167, ,28761,MINOR AVE N AND ROY ST,FAIRVIEW AVE N AND ROY ST,N,960,N, , ,NON-ART,75,0,E,437.0,"{'paths': [[[-13618195.9710023, 6044713.33951912], [-13618099.0710427, 6044713.40298275], [-13618048.5945091, 6044713.34471968], [-13618046.2484207, 6044713.34304863], [-13617998.710086, 6044713.60547963]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",436.977097294768,5,20,INSVC,ROY ST,Urban Village Neighborhood Access,PCC, ,20,197.26169565504398,0,NOT DESIGNATED,ROY ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N,095200110,MINOR AVE N,FAIRVIEW AVE N
167,167,0,Not Designated,4900,12696,SE,NW,168, ,25172,RUSSELL AVE NW AND NW DOCK PL,17TH AVE NW AND NW 50TH ST,N,961,N, , ,NON-ART,43,0,NW,123.0,"{'paths': [[[-13623155.6294988, 6051311.3654068], [-13623186.9906335, 6051357.5798421]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",123.36808369408001,0,20,INSVC,RUSSELL AVE NW,Urban Village Neighborhood Access,PCC, ,32,55.8506472386507,0,NOT DESIGNATED,RUSSELL AVE NW BETWEEN 17TH AVE NW AND NW DOCK PL,095400490,NW DOCK PL,17TH AVE NW
173,173,1,Principal Arterial,200,12772,SW,NE,174, ,29612,3RD AVE AND SENECA ST,2ND AVE AND SENECA ST,Y,967,N, , ,ART,44,0,NE,322.0,"{'paths': [[[-13618429.55925, 6041652.51473353], [-13618305.9424333, 6041729.2083875]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",322.098901582784,11,25,INSVC,SENECA ST,Downtown,AC/PCC, ,42,145.47520044081,3,MINOR TRANSIT ROUTE,SENECA ST BETWEEN 2ND AVE AND 3RD AVE,096150020,3RD AVE,2ND AVE
175,175,2,Minor Arterial,1400,12784,SW,NE,176, ,29769,HARVARD AVE AND SENECA ST,BOYLSTON AVE AND SENECA ST,N,969,N, , ,ART,8,72,NE,340.0,"{'paths': [[[-13616946.7002869, 6042572.66877854], [-13616846.5586499, 6042635.53461841], [-13616832.3155594, 6042667.9888617]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",340.092966135596,4,25,INSVC,SENECA ST,Urban Village Neighborhood,AC/PCC,PCC,44,153.681115901666,3,MINOR TRANSIT ROUTE,SENECA ST BETWEEN BOYLSTON AVE AND HARVARD AVE,096150140,HARVARD AVE,BOYLSTON AVE
179,179,2,Minor Arterial,5300,12831,SE,NW,180, ,25167,22ND AVE NW AND SHILSHOLE AVE NW,SHILSHOLE AVE NW AND NW VERNON PL,N,973,N, , ,ART,90,0,NW,262.0,"{'paths': [[[-13623733.2148762, 6051452.88728253], [-13623735.4661609, 6051455.72308252], [-13623788.3609594, 6051522.35286257], [-13623802.5055434, 6051539.17452642], [-13623808.0587872, 6051545.0982746]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",262.458157542036,1,30,INSVC,SHILSHOLE AVE NW,Industrial Access,PCC, ,24,118.79141838422899,0,NOT DESIGNATED,SHILSHOLE AVE NW BETWEEN NW VERNON PL AND 22ND AVE NW,096600530,22ND AVE NW,NW VERNON PL
183,183,1,Principal Arterial,300,12862,SW,NE,184,F,29950,4TH AVE AND SPRING ST,3RD AVE AND SPRING ST,N,977,Y,NE, ,ART,49,0,NE,322.0,"{'paths': [[[-13618233.3407168, 6041611.49573607], [-13618109.8342057, 6041688.09522702]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",321.783126710971,12,25,INSVC,SPRING ST,Downtown,AC/PCC, ,42,145.331828266575,3,MINOR TRANSIT ROUTE,SPRING ST BETWEEN 3RD AVE AND 4TH AVE,097350030,4TH AVE,3RD AVE
184,184,0,Not Designated,1400,12873,SW,NE,185, ,29771,HARVARD AVE AND SPRING ST,BOYLSTON AVE AND SPRING ST,N,978,N, , ,NON-ART,13,0,NE,322.0,"{'paths': [[[-13616874.1297708, 6042454.75652337], [-13616750.5659554, 6042531.40879899]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",321.92092304444196,4,20,INSVC,SPRING ST,Urban Village Neighborhood Access,AC, ,30,145.408348582559,0,NOT DESIGNATED,SPRING ST BETWEEN BOYLSTON AVE AND HARVARD AVE,097350140,HARVARD AVE,BOYLSTON AVE
187,187,1,Principal Arterial,200,12898,SW,NE,188,T,29581,3RD AVE AND STEWART ST,2ND AVE AND STEWART ST,Y,981,Y,SW, ,ART,71,89,NE,322.0,"{'paths': [[[-13618876.8355441, 6042375.41904737], [-13618781.0757185, 6042485.25730544]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",322.327632521576,3,25,INSVC,STEWART ST,Downtown,AC/PCC,PCC,42,145.720235856602,1,PRINCIPAL TRANSIT ROUTE,STEWART ST BETWEEN 2ND AVE AND 3RD AVE,098000020,3RD AVE,2ND AVE
188,188,1,Principal Arterial,1200,12909,SW,NE,189,T,29172,STEWART ST AND YALE AVE,MINOR AVE AND STEWART ST,Y,982,Y,SW, ,ART,92,85,NE,322.0,"{'paths': [[[-13617920.2027144, 6043472.82759183], [-13617890.9589421, 6043506.3679795], [-13617824.5625784, 6043582.52180794]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",321.872558575609,1,25,INSVC,STEWART ST,Downtown,AC/PCC,PCC,48,145.533008782871,1,PRINCIPAL TRANSIT ROUTE,STEWART ST BETWEEN MINOR AVE AND YALE AVE,098000120,YALE AVE,MINOR AVE
205,205,0,Not Designated,200,13074,S,N,206, ,28932,TAYLOR AVE N AND THOMAS ST,JOHN ST AND TAYLOR AVE N,N,999,N, , ,NON-ART,0,0,N,426.0,"{'paths': [[[-13619528.4992954, 6043823.78502586], [-13619527.4172721, 6044016.6956036]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",426.080015708908,2,20,INSVC,TAYLOR AVE N,Urban Village Neighborhood Access,AC,PCC,56,192.91361220936298,0,NOT DESIGNATED,TAYLOR AVE N BETWEEN JOHN ST AND THOMAS ST,100150020,THOMAS ST,JOHN ST
208,208,0,Not Designated,900,13096,SW,NE,209, ,29834,TERRACE ST AND TERRY AVE,TERRACE ST AND DEAD END 2,N,1002,N, , ,NON-ART,6,0,NE,168.0,"{'paths': [[[-13616924.7870407, 6041283.21015092], [-13616921.9260697, 6041284.98371586], [-13616903.5349092, 6041296.37913157], [-13616860.3056679, 6041323.17227278]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",167.971744970474,4,20,INSVC,TERRACE ST,Urban Village Neighborhood Access,AC, ,30,75.8605210172458,0,NOT DESIGNATED,TERRACE ST BETWEEN DEAD END 2 AND TERRY AVE,100350090,TERRY AVE,DEAD END 2
209,209,0,Not Designated,600,13104,SE,NW,210, ,29815,CHERRY ST AND TERRY AVE,JAMES ST AND TERRY AVE,N,1003,N, , ,NON-ART,12,0,NW,306.0,"{'paths': [[[-13617005.4456801, 6041558.83331076], [-13617078.0733265, 6041676.75812978]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",306.22884810143603,1,20,INSVC,TERRY AVE,Urban Village Neighborhood Access,AC, ,28,138.495624346807,0,NOT DESIGNATED,TERRY AVE BETWEEN JAMES ST AND CHERRY ST,100400060,CHERRY ST,JAMES ST
210,210,0,Not Designated,1900,13115,SE,NW,211,F,29526,TERRY AVE AND VIRGINIA ST,STEWART ST AND TERRY AVE,N,1004,Y,NW, ,NON-ART,0,0,NW,426.0,"{'paths': [[[-13618111.513103, 6043253.38653003], [-13618174.6419076, 6043308.76705587], [-13618256.2121418, 6043380.33362862]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",425.915890831438,2,20,INSVC,TERRY AVE,Downtown Neighborhood Access,AC/PCC, ,0,192.492539375377,3,MINOR TRANSIT ROUTE,TERRY AVE BETWEEN STEWART ST AND VIRGINIA ST,100400190,VIRGINIA ST,STEWART ST
212,212,0,Not Designated,700,13137,W,E,213, ,28788,8TH AVE N AND THOMAS ST,DEXTER AVE N AND THOMAS ST,N,1006,N, , ,NON-ART,64,0,E,322.0,"{'paths': [[[-13619091.6367111, 6044014.32873194], [-13618946.335639, 6044013.59078282]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",321.903470854229,4,20,INSVC,THOMAS ST,Urban Village Neighborhood Access,PCC, ,42,145.302946028391,0,NOT DESIGNATED,THOMAS ST BETWEEN DEXTER AVE N AND 8TH AVE N,100550075,8TH AVE N,DEXTER AVE N
213,213,0,Not Designated,1200,13145,W,E,214, ,29148,THOMAS ST AND YALE AVE N,PONTIUS AVE N AND THOMAS ST,N,1007,N, , ,NON-ART,0,0,E,316.0,"{'paths': [[[-13617902.9735634, 6044002.56135419], [-13617760.4442069, 6044003.07232951]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",315.76132461180197,1,20,INSVC,THOMAS ST,Urban Village Neighborhood Access,AC/PCC, ,0,142.530272445229,0,NOT DESIGNATED,THOMAS ST BETWEEN PONTIUS AVE N AND YALE AVE N,100550125,YALE AVE N,PONTIUS AVE N
219,219,1,Principal Arterial,200,13201,SW,NE,220,F,29603,3RD AVE AND UNIVERSITY ST,2ND AVE AND UNIVERSITY ST,N,1013,Y,NE, ,ART,8,0,NE,322.0,"{'paths': [[[-13618502.2075033, 6041770.28256175], [-13618378.531081, 6041846.91420628]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",322.134820977028,11,25,INSVC,UNIVERSITY ST,Downtown,AC/PCC, ,41,145.493183311379,3,MINOR TRANSIT ROUTE,UNIVERSITY ST BETWEEN 2ND AVE AND 3RD AVE,101150020,3RD AVE,2ND AVE
220,220,1,Principal Arterial,500,13204,SW,NE,221,F,29930,6TH AVE AND UNIVERSITY ST,5TH AVE AND UNIVERSITY ST,N,1014,Y,NE, ,ART,55,50,NE,324.0,"{'paths': [[[-13618131.5171991, 6042000.3747527], [-13618110.0014521, 6042013.73773662], [-13618008.0892838, 6042077.04409638], [-13618007.2139049, 6042077.58718155]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",323.982478739832,5,25,INSVC,UNIVERSITY ST,Downtown,PCC,AC/PCC,88,146.332047687316,3,MINOR TRANSIT ROUTE,UNIVERSITY ST BETWEEN 5TH AVE AND 6TH AVE,101150050,6TH AVE,5TH AVE
221,221,3,Collector Arterial,4100,13219,S,N,222, ,27105,UNIVERSITY WAY NE AND NE 42ND ST,UNIVERSITY WAY NE AND NE 41ST ST,N,1015,N, , ,ART,97,0,N,540.0,"{'paths': [[[-13615848.2629285, 6049952.97984718], [-13615843.9392245, 6050197.6838113]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",540.167262662102,4,30,INSVC,UNIVERSITY WAY NE,Urban Village Neighborhood,PCC, ,38,244.742159160633,2,MAJOR TRANSIT ROUTE,UNIVERSITY WAY NE BETWEEN NE 41ST ST AND NE 42ND ST,101200410,NE 42ND ST,NE 41ST ST
222,222,3,Collector Arterial,4300,13221,S,N,223, ,27077,UNIVERSITY WAY NE AND NE 45TH ST,UNIVERSITY WAY NE AND NE 43RD ST,N,1016,N, , ,ART,97,0,N,538.0,"{'paths': [[[-13615839.6164571, 6050442.33574042], [-13615835.3108976, 6050685.99857266]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",537.8386334683989,3,30,INSVC,UNIVERSITY WAY NE,Urban Village Neighborhood,PCC, ,38,243.700869220112,2,MAJOR TRANSIT ROUTE,UNIVERSITY WAY NE BETWEEN NE 43RD ST AND NE 45TH ST,101200430,NE 45TH ST,NE 43RD ST
223,223,0,Not Designated,2200,13239,N,S,224, ,31209,UTAH AVE S AND S STACY ST,UTAH AVE S AND S WALKER ST,N,1017,N, , ,NON-ART,43,0,S,760.0,"{'paths': [[[-13618283.5452499, 6037920.79690666], [-13618283.7094065, 6037693.35631876], [-13618283.7928137, 6037576.86660217]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",760.166657891492,0,20,INSVC,UTAH AVE S,Minor Industrial Access,PCC, ,37,343.93039358678703,0,NOT DESIGNATED,UTAH AVE S BETWEEN S WALKER ST AND S STACY ST,101450220,S STACY ST,S WALKER ST
225,225,0,Not Designated,700,13264,W,E,226, ,28736,8TH AVE N AND VALLEY ST,DEXTER AVE N AND VALLEY ST,N,1019,N, , ,NON-ART,25,4,E,322.0,"{'paths': [[[-13619086.3663019, 6044901.76319756], [-13618940.9570165, 6044900.94007351]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",322.110943940183,6,20,INSVC,VALLEY ST,Urban Village Neighborhood Access,PCC,AC,84,145.411615143465,0,NOT DESIGNATED,VALLEY ST BETWEEN DEXTER AVE N AND 8TH AVE N,101600075,8TH AVE N,DEXTER AVE N
226,226,1,Principal Arterial,1000,13266,W,E,227, ,28745,LAKE UNION PARK ACCESS RD AND VALLEY ST,TERRY AVE N AND VALLEY ST,Y,1020,N, , ,ART,92,0,E,227.0,"{'paths': [[[-13618506.0838181, 6044823.8067465], [-13618403.6564507, 6044823.25228606]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",226.899057820732,0,30,INSVC,VALLEY ST,Urban Village Main,AC, ,52,102.42886810113501,3,MINOR TRANSIT ROUTE,VALLEY ST BETWEEN TERRY AVE N AND LAKE UNION PARK ACCESS RD,101600100,LAKE UNION PARK ACCESS RD,TERRY AVE N
227,227,0,Not Designated,1100,13268,W,E,228, ,28747,MINOR AVE N AND VALLEY ST,FAIRVIEW AVE N AND VALLEY ST,N,1021,N, , ,NON-ART,0,0,E,486.0,"{'paths': [[[-13618196.8974478, 6044853.39108133], [-13618164.3000042, 6044850.02812093], [-13617999.2033456, 6044850.35833996]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",438.30964930105796,3,20,INSVC,VALLEY ST,Urban Village Neighborhood Access,AC, ,44,197.867445468917,3,MINOR TRANSIT ROUTE,VALLEY ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N,101600115,MINOR AVE N,FAIRVIEW AVE N
