,HOUR,UNITDESC,PARKING_SPACE,OCCUPANCY
31,1,E PINE ST BETWEEN BELMONT AVE AND BOYLSTON AVE,13.0,0.7692307692307693
32,1,E PINE ST BETWEEN BOYLSTON AVE AND HARVARD AVE,7.0,1.0
33,1,E PINE ST BETWEEN BROADWAY AND NAGLE PL,8.0,0.5
34,1,E PINE ST BETWEEN CRAWFORD PL AND SUMMIT AVE,8.0,0.375
35,1,E PINE ST BETWEEN HARVARD AVE AND BROADWAY,4.0,0.0
36,1,E PINE ST BETWEEN MELROSE AVE AND BELLEVUE AVE,8.0,0.125
37,1,E PINE ST BETWEEN NAGLE PL AND 10TH AVE,5.0,0.6
38,1,E UNION ST BETWEEN 10TH AVE AND 11TH AVE,16.0,0.6875
39,1,E UNION ST BETWEEN BELMONT AVE AND BOYLSTON AVE,8.0,1.0
40,1,E UNION ST BETWEEN BOYLSTON AVE AND HARVARD AVE,6.0,1.0
41,1,E UNION ST BETWEEN BROADWAY AND BROADWAY CT,5.0,0.4
42,1,E UNION ST BETWEEN BROADWAY CT AND 10TH AVE,5.0,0.4
43,1,E UNION ST BETWEEN CRAWFORD PL AND SUMMIT AVE,6.0,1.0
44,1,E UNION ST BETWEEN SENECA ST AND BROADWAY,9.0,0.6666666666666666
45,1,E UNION ST BETWEEN SUMMIT AVE AND BELMONT AVE,7.0,1.0
46,1,MELROSE AVE BETWEEN PIKE ST AND PINE ST,18.0,0.3333333333333333
47,1,MINOR AVE BETWEEN PIKE ST AND PINE ST,8.0,0.375
48,1,PINE ST BETWEEN MINOR AVE AND MELROSE AVE,5.0,0.2
49,1,SUMMIT AVE BETWEEN E PIKE ST AND E PINE ST,18.0,0.8333333333333334
50,1,SUMMIT AVE BETWEEN E UNION ST AND E PIKE ST,17.0,0.8235294117647058
51,2,10TH AVE BETWEEN E PIKE ST AND E PINE ST,40.0,0.2
52,2,10TH AVE BETWEEN E UNION ST AND E PIKE ST,20.0,0.1
53,2,11TH AVE BETWEEN E PIKE ST AND E PINE ST,29.0,0.20689655172413793
54,2,12TH AVE BETWEEN E MADISON ST AND E PIKE ST,18.0,0.16666666666666666
55,2,12TH AVE BETWEEN E PIKE ST AND E PINE ST,3.0,1.0
56,2,13TH AVE BETWEEN E MADISON ST AND E PIKE ST,5.0,1.0
57,2,13TH AVE BETWEEN E PIKE ST AND E PINE ST,12.0,0.3333333333333333
58,2,14TH AVE BETWEEN E PIKE ST AND E PINE ST,9.0,0.4444444444444444
59,2,15TH AVE BETWEEN E MADISON ST AND E PINE ST,4.0,1.0
60,2,BELMONT AVE BETWEEN E PIKE ST AND E PINE ST,8.0,1.0
61,2,BELMONT AVE BETWEEN E UNION ST AND E PIKE ST,15.0,0.8666666666666667
62,2,BOYLSTON AVE BETWEEN E UNION ST AND E PIKE ST,10.0,1.0
63,2,BROADWAY BETWEEN E PIKE ST AND E PINE ST,5.0,0.6
64,2,BROADWAY BETWEEN E UNION ST AND E PIKE ST,6.0,1.0
65,2,E PIKE ST BETWEEN 10TH AVE AND 11TH AVE,17.0,0.4117647058823529
66,2,E PIKE ST BETWEEN 11TH AVE AND 12TH AVE,16.0,0.5
67,2,E PIKE ST BETWEEN 12TH AVE AND 13TH AVE,11.0,0.2727272727272727
68,2,E PIKE ST BETWEEN 13TH AVE AND 14TH AVE,18.0,0.2222222222222222
69,2,E PIKE ST BETWEEN BELLEVUE AVE AND CRAWFORD PL,8.0,0.5
70,2,E PIKE ST BETWEEN BELMONT AVE AND BOYLSTON AVE,15.0,0.2
71,2,E PIKE ST BETWEEN BOYLSTON AVE AND HARVARD AVE,17.0,0.5294117647058824
72,2,E PIKE ST BETWEEN BROADWAY AND 10TH AVE,18.0,0.3333333333333333
73,2,E PIKE ST BETWEEN CRAWFORD PL AND SUMMIT AVE,8.0,0.5
74,2,E PIKE ST BETWEEN HARVARD AVE AND BROADWAY,19.0,0.5789473684210527
75,2,E PIKE ST BETWEEN MELROSE AVE AND BELLEVUE AVE,14.0,0.5714285714285714
76,2,E PIKE ST BETWEEN SUMMIT AVE AND BELMONT AVE,13.0,0.5384615384615384
77,2,E PINE ST BETWEEN 10TH AVE AND 11TH AVE,14.0,0.14285714285714285
78,2,E PINE ST BETWEEN 12TH AVE AND 13TH AVE,14.0,0.2857142857142857
79,2,E PINE ST BETWEEN 13TH AVE AND 14TH AVE,10.0,0.3
80,2,E PINE ST BETWEEN 14TH AVE AND 15TH AVE,13.0,0.5384615384615384
81,2,E PINE ST BETWEEN BELLEVUE AVE AND CRAWFORD PL,4.0,0.5
82,2,E PINE ST BETWEEN BELMONT AVE AND BOYLSTON AVE,13.0,1.0
83,2,E PINE ST BETWEEN BOYLSTON AVE AND HARVARD AVE,7.0,0.8571428571428571
84,2,E PINE ST BETWEEN BROADWAY AND NAGLE PL,8.0,0.625
85,2,E PINE ST BETWEEN CRAWFORD PL AND SUMMIT AVE,8.0,0.375
86,2,E PINE ST BETWEEN HARVARD AVE AND BROADWAY,4.0,0.0
87,2,E PINE ST BETWEEN MELROSE AVE AND BELLEVUE AVE,8.0,0.5
88,2,E PINE ST BETWEEN NAGLE PL AND 10TH AVE,5.0,0.2
89,2,E UNION ST BETWEEN 10TH AVE AND 11TH AVE,16.0,0.5625
90,2,E UNION ST BETWEEN BELMONT AVE AND BOYLSTON AVE,8.0,1.0
91,2,E UNION ST BETWEEN BOYLSTON AVE AND HARVARD AVE,6.0,1.0
92,2,E UNION ST BETWEEN BROADWAY AND BROADWAY CT,5.0,0.0
93,2,E UNION ST BETWEEN BROADWAY CT AND 10TH AVE,5.0,0.4
94,2,E UNION ST BETWEEN CRAWFORD PL AND SUMMIT AVE,6.0,1.0
95,2,E UNION ST BETWEEN SENECA ST AND BROADWAY,9.0,0.6666666666666666
96,2,E UNION ST BETWEEN SUMMIT AVE AND BELMONT AVE,7.0,1.0
97,2,MELROSE AVE BETWEEN PIKE ST AND PINE ST,18.0,0.4444444444444444
98,2,MINOR AVE BETWEEN PIKE ST AND PINE ST,8.0,0.125
99,2,PINE ST BETWEEN MINOR AVE AND MELROSE AVE,5.0,0.4
100,2,SUMMIT AVE BETWEEN E PIKE ST AND E PINE ST,18.0,0.9444444444444444
101,2,SUMMIT AVE BETWEEN E UNION ST AND E PIKE ST,17.0,0.9411764705882353
102,7,WESTLAKE EAST RDWY AVE N BETWEEN ALOHA ST AND WESTLAKE SHORE RDWY AVE N,126.0,0.0
103,7,WESTLAKE EAST RDWY AVE N BETWEEN BLAINE ST AND HOWE ST,78.0,0.38461538461538464
104,7,WESTLAKE EAST RDWY AVE N BETWEEN COMSTOCK ST AND GALER ST,212.0,0.2641509433962264
105,7,WESTLAKE EAST RDWY AVE N BETWEEN CROCKETT ST AND MCGRAW ST,164.0,0.5365853658536586
106,7,WESTLAKE EAST RDWY AVE N BETWEEN GALER ST AND WESTLAKE SHORE RDWY 1 AVE N,114.0,0.3333333333333333
107,7,WESTLAKE EAST RDWY AVE N BETWEEN HALLADAY ST AND NEWELL ST,370.0,0.3891891891891892
108,7,WESTLAKE EAST RDWY AVE N BETWEEN HIGHLAND DR AND COMSTOCK ST,132.0,0.9545454545454546
109,7,WESTLAKE EAST RDWY AVE N BETWEEN HOWE ST AND NEWTON ST,196.0,0.16326530612244897
110,7,WESTLAKE EAST RDWY AVE N BETWEEN MCGRAW ST AND HALLADAY ST,354.0,0.672316384180791
111,7,WESTLAKE EAST RDWY AVE N BETWEEN NEWELL ST AND SHIP CANAL TRL,136.0,0.20588235294117646
112,7,WESTLAKE EAST RDWY AVE N BETWEEN NEWTON ST AND WESTLAKE SHORE RDWY 3 AVE N,80.0,0.5
113,7,WESTLAKE EAST RDWY AVE N BETWEEN WESTLAKE SHORE RDWY 1 AVE N AND WESTLAKE SHORE RDWY 2 AVE N,76.0,0.2894736842105263
114,7,WESTLAKE EAST RDWY AVE N BETWEEN WESTLAKE SHORE RDWY 2 AVE N AND BLAINE ST,64.0,0.25
115,7,WESTLAKE EAST RDWY AVE N BETWEEN WESTLAKE SHORE RDWY 3 AVE N AND CROCKETT ST,140.0,0.38571428571428573
116,7,WESTLAKE EAST RDWY AVE N BETWEEN WESTLAKE SHORE RDWY AVE N AND HIGHLAND DR,160.0,0.2375
121,8,10TH AVE BETWEEN E MADISON ST AND E SENECA ST,6.25,0.55
122,8,10TH AVE BETWEEN E PIKE ST AND E PINE ST,46.8,0.4934065934065933
123,8,10TH AVE BETWEEN E SENECA ST AND E UNION ST,27.333333333333332,0.5757575757575758
124,8,10TH AVE BETWEEN E UNION ST AND E PIKE ST,16.0,0.7208333333333333
125,8,10TH AVE E BETWEEN E DENNY WAY AND E JOHN ST,28.5,1.0
126,8,10TH AVE E BETWEEN E HARRISON ST AND E REPUBLICAN ST,21.0,1.0
127,8,10TH AVE E BETWEEN E JOHN ST AND E THOMAS E ST,21.0,0.8571428571428572
128,8,10TH AVE E BETWEEN E MERCER ST AND E ROY E ST,12.0,0.7777777777777777
129,8,10TH AVE E BETWEEN E REPUBLICAN ST AND E MERCER ST,35.0,0.81
130,8,10TH AVE E BETWEEN E THOMAS W ST AND E HARRISON ST,13.5,0.95
131,8,10TH AVE S BETWEEN S JACKSON ST AND S KING ST,7.0,0.7142857142857143
132,8,10TH AVE S BETWEEN S KING ST AND S WELLER ST,13.0,0.5384615384615384
133,8,11TH AVE BETWEEN E HOWELL ST AND E DENNY WAY,34.8,0.17241379310344826
134,8,11TH AVE BETWEEN E MADISON ST AND E UNION ST,11.0,0.5214285714285715
135,8,11TH AVE BETWEEN E OLIVE ST AND E HOWELL ST,38.75,0.15322580645161288
136,8,11TH AVE BETWEEN E PIKE ST AND E PINE ST,32.0,0.2100171405525307
137,8,11TH AVE BETWEEN E PINE ST AND E OLIVE ST,37.0,0.38409961685823757
138,8,11TH AVE BETWEEN E UNION ST AND E PIKE ST,5.75,0.7642857142857142
139,8,11TH AVE NE BETWEEN DEAD END 1 AND NE 41ST ST,7.5,0.7
140,8,11TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,12.4,0.9428571428571428
141,8,11TH AVE NE BETWEEN NE 45TH ST AND NE 47TH ST,26.6,0.5724614651199745
142,8,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,32.5,0.5288461538461539
143,8,12TH AVE BETWEEN E BARCLAY CT AND E JAMES CT,12.6,0.06000000000000001
144,8,12TH AVE BETWEEN E CHERRY ST AND E COLUMBIA ST,15.6,0.4461538461538462
145,8,12TH AVE BETWEEN E COLUMBIA ST AND E MARION ST,18.0,0.48
146,8,12TH AVE BETWEEN E HOWELL ST AND E DENNY WAY,34.0,0.5416666666666667
147,8,12TH AVE BETWEEN E JAMES CT AND E CHERRY ST,4.8,0.35
148,8,12TH AVE BETWEEN E JEFFERSON ST AND E BARCLAY CT,9.0,0.13690476190476192
149,8,12TH AVE BETWEEN E MADISON ST AND E PIKE ST,21.5,0.5841503267973855
150,8,12TH AVE BETWEEN E MARION ST AND E SPRING ST,18.8,0.33815242205335083
151,8,12TH AVE BETWEEN E OLIVE ST AND E HOWELL ST,15.5,1.0
152,8,12TH AVE BETWEEN E PIKE ST AND E PINE ST,6.5,0.9285714285714286
153,8,12TH AVE BETWEEN E PINE ST AND E OLIVE ST,18.75,0.8289473684210527
154,8,12TH AVE BETWEEN E SPRING ST AND E MADISON ST,8.2,0.5619047619047619
155,8,12TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,33.4,0.731844499586435
156,8,12TH AVE NE BETWEEN NE 45TH ST AND NE 47TH ST,25.0,0.16596491228070173
157,8,12TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,20.4,0.4352941176470588
158,8,12TH AVE NE BETWEEN NE 64TH ST AND NE 65TH ST,13.4,0.3575757575757576
159,8,12TH AVE NE BETWEEN NE 65TH ST AND NE 66TH ST,3.0,0.6666666666666666
160,8,12TH AVE NE BETWEEN NE CAMPUS WB PY AND NE 41ST ST,6.0,0.5
161,8,13TH AVE BETWEEN E BARCLAY CT AND E JAMES CT,16.0,0.5625
162,8,13TH AVE BETWEEN E CHERRY ST AND E COLUMBIA ST,26.0,0.9230769230769231
163,8,13TH AVE BETWEEN E JAMES CT AND E CHERRY ST,16.0,0.6875
164,8,13TH AVE BETWEEN E JEFFERSON ST AND E BARCLAY CT,15.0,0.4
165,8,13TH AVE BETWEEN E MADISON ST AND E PIKE ST,7.75,0.47916666666666663
166,8,13TH AVE BETWEEN E PIKE ST AND E PINE ST,15.333333333333334,0.5777777777777778
167,8,14TH AVE BETWEEN E PIKE ST AND E PINE ST,19.75,0.5958333333333333
168,8,14TH AVE BETWEEN E UNION ST AND E MADISON ST,12.0,0.2111111111111111
169,8,15TH AVE BETWEEN E JEFFERSON ST AND E CHERRY ST,43.5,0.9310344827586207
170,8,15TH AVE BETWEEN E MADISON ST AND E PINE ST,6.5,0.39285714285714285
171,8,15TH AVE E BETWEEN E DENNY WAY AND E JOHN SR ST,18.0,0.7777777777777778
172,8,15TH AVE E BETWEEN E HARRISON N ST AND E REPUBLICAN S ST,13.0,0.8461538461538461
173,8,15TH AVE E BETWEEN E REPUBLICAN N ST AND E MERCER S ST,15.0,0.26666666666666666
174,8,15TH AVE E BETWEEN E THOMAS N ST AND E HARRISON S ST,16.0,0.625
175,8,15TH AVE E BETWEEN E THOMAS S ST AND E THOMAS N ST,5.0,1.0
176,8,15TH AVE NE BETWEEN NE 42ND ST AND NE 43RD ST,6.25,0.55
177,8,15TH AVE NE BETWEEN NE 45TH ST AND NE 47TH ST,20.0,0.375
178,8,15TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,36.0,0.3125
179,8,15TH AVE NE BETWEEN NE BOAT W ST AND NE PACIFIC ST,9.0,1.0
180,8,16TH AVE BETWEEN E ALDER W ST AND E JEFFERSON ST,58.5,0.8461538461538461
181,8,16TH AVE BETWEEN E CHERRY ST AND E COLUMBIA ST,37.5,0.64
182,8,16TH AVE BETWEEN E JEFFERSON ST AND E CHERRY ST,14.0,0.9722222222222222
183,8,17TH AVE BETWEEN E ALDER ST AND E JEFFERSON ST,27.0,0.7777777777777777
184,8,17TH AVE BETWEEN E CHERRY ST AND E COLUMBIA ST,24.0,0.875
185,8,17TH AVE NW BETWEEN NW 53RD ST AND BARNES AVE NW,2.0,1.0
186,8,17TH AVE NW BETWEEN NW 54TH ST AND NW MARKET ST,22.0,0.49411764705882355
187,8,17TH AVE NW BETWEEN NW IONE PL AND NW 53RD ST,12.0,1.0
188,8,18TH AVE BETWEEN E ALDER ST AND E JEFFERSON ST,33.0,0.8863636363636364
189,8,18TH AVE BETWEEN E CHERRY ST AND E COLUMBIA ST,18.0,0.9583333333333333
190,8,18TH AVE BETWEEN E JEFFERSON ST AND E CHERRY ST,21.2,0.8875
191,8,19TH AVE BETWEEN E JEFFERSON ST AND E CHERRY ST,39.0,0.8076923076923077
192,8,1ST AVE BETWEEN BATTERY ST AND WALL ST,13.2,0.4545454545454545
193,8,1ST AVE BETWEEN BELL ST AND BATTERY ST,29.75,0.4841485507246377
194,8,1ST AVE BETWEEN BLANCHARD ST AND BELL ST,20.8,0.35384615384615387
195,8,1ST AVE BETWEEN CEDAR ST AND CLAY ST,11.8,0.22954545454545455
196,8,1ST AVE BETWEEN CLAY ST AND BROAD ST,19.2,0.3375
197,8,1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,14.8,0.58
198,8,1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST,5.0,0.5
199,8,1ST AVE BETWEEN VINE ST AND CEDAR ST,13.0,0.5772727272727273
200,8,1ST AVE BETWEEN VIRGINIA ST AND LENORA ST,10.0,0.7
201,8,1ST AVE BETWEEN WALL ST AND VINE ST,13.2,0.3454545454545454
202,8,1ST AVE N BETWEEN DENNY WAY AND JOHN ST,15.666666666666666,0.5346153846153846
203,8,1ST AVE N BETWEEN HARRISON ST AND REPUBLICAN ST,3.5,0.38888888888888884
204,8,1ST AVE N BETWEEN JOHN ST AND THOMAS ST,21.333333333333332,0.3811890838206628
205,8,1ST AVE N BETWEEN MERCER ST AND ROY ST,8.166666666666666,0.26190476190476186
206,8,1ST AVE N BETWEEN REPUBLICAN ST AND MERCER ST,32.666666666666664,0.43452380952380953
207,8,1ST AVE N BETWEEN THOMAS ST AND HARRISON ST,13.2,0.47142857142857136
208,8,1ST AVE NE BETWEEN WOODLAWN S AVE NE AND EAST GREEN LAKE WAY N,14.0,1.0
209,8,1ST AVE S BETWEEN RAILROAD S WAY S AND S ROYAL BROUGHAM WAY,29.833333333333332,0.4237037037037037
210,8,1ST AVE S BETWEEN S ATLANTIC ST AND S MASSACHUSETTS ST,16.0,0.3125
211,8,1ST AVE S BETWEEN S FOREST ST AND S HANFORD ST,17.0,0.11764705882352941
212,8,1ST AVE S BETWEEN S HANFORD ST AND S HORTON ST,24.0,0.4166666666666667
213,8,1ST AVE S BETWEEN S HOLGATE ST AND S WALKER ST,33.0,0.3333333333333333
214,8,1ST AVE S BETWEEN S KING ST AND RAILROAD N WAY S,43.42857142857143,0.462406015037594
215,8,1ST AVE S BETWEEN S LANDER ST AND S FOREST ST,25.0,0.28
216,8,1ST AVE S BETWEEN S MASSACHUSETTS ST AND S HOLGATE ST,45.0,0.37777777777777777
217,8,1ST AVE S BETWEEN S ROYAL BROUGHAM WAY AND S ATLANTIC ST,3.75,0.0
218,8,1ST AVE S BETWEEN S STACY ST AND S LANDER ST,47.0,0.6382978723404256
219,8,1ST AVE S BETWEEN S WALKER ST AND S STACY ST,25.0,0.4
220,8,1ST AVE W BETWEEN W HARRISON ST AND W REPUBLICAN ST,12.666666666666666,0.7526862026862027
221,8,1ST AVE W BETWEEN W JOHN ST AND W THOMAS ST,25.666666666666668,0.5303030303030303
222,8,1ST AVE W BETWEEN W MERCER ST AND W ROY ST,7.166666666666667,0.5380952380952381
223,8,1ST AVE W BETWEEN W REPUBLICAN ST AND W MERCER ST,17.5,0.38888888888888884
224,8,1ST AVE W BETWEEN W THOMAS ST AND W HARRISON ST,21.25,0.27923976608187134
225,8,1ST AVE W BETWEEN WESTERN AVE W AND W JOHN ST,9.0,0.611111111111111
226,8,20TH AVE NW BETWEEN BALLARD AVE NW AND LEARY AVE NW,36.5,1.0
227,8,20TH AVE NW BETWEEN LEARY AVE NW AND RUSSELL AVE NW,46.5,0.797979797979798
228,8,20TH AVE NW BETWEEN NW 56TH ST AND NW 57TH ST,10.0,0.7
229,8,20TH AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,8.4,0.22857142857142856
230,8,20TH AVE NW BETWEEN RUSSELL AVE NW AND NW MARKET ST,11.5,0.2125
231,8,20TH AVE NW BETWEEN SHILSHOLE AVE NW AND BALLARD AVE NW,18.0,0.8888888888888888
232,8,22ND AVE NW BETWEEN BALLARD AVE NW AND NW MARKET ST,18.8,0.14852941176470588
233,8,22ND AVE NW BETWEEN NW 56TH ST AND NW 57TH ST,10.8,0.4333333333333334
234,8,22ND AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,11.0,0.64
235,8,22ND AVE NW BETWEEN SHILSHOLE AVE NW AND BALLARD AVE NW,22.75,0.14938080495356038
236,8,24TH AVE NW BETWEEN NW 56TH ST AND NW 57TH ST,10.4,0.375
237,8,24TH AVE NW BETWEEN NW 57TH ST AND NW 58TH ST,22.0,0.5454545454545454
238,8,24TH AVE NW BETWEEN NW 58TH ST AND NW 59TH ST,26.0,0.6153846153846154
239,8,24TH AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,10.6,0.2749206349206349
240,8,27TH AVE NE BETWEEN NE 125TH ST AND NE 127TH ST,46.0,0.45652173913043476
241,8,28TH AVE NE BETWEEN NE 125TH ST AND NE 127TH ST,24.0,0.5416666666666666
242,8,2ND AV ET S BETWEEN S JACKSON ST AND S MAIN ST,6.142857142857143,0.3904761904761905
243,8,2ND AV ET S BETWEEN S MAIN ST AND S WASHINGTON ST,8.75,0.5
244,8,2ND AV ET S BETWEEN S WASHINGTON ST AND YESLER WAY,11.25,0.6666666666666667
245,8,2ND AVE BETWEEN BATTERY ST AND WALL ST,14.4,0.5171428571428571
246,8,2ND AVE BETWEEN BELL ST AND BATTERY ST,25.75,0.5533596837944664
247,8,2ND AVE BETWEEN BLANCHARD ST AND BELL ST,11.6,0.5422222222222223
248,8,2ND AVE BETWEEN BROAD ST AND 2ND WR AVE,19.75,0.3666666666666667
249,8,2ND AVE BETWEEN CEDAR ST AND CLAY ST,20.75,0.2774509803921569
250,8,2ND AVE BETWEEN CHERRY ST AND COLUMBIA ST,5.0,0.26666666666666666
251,8,2ND AVE BETWEEN CLAY ST AND BROAD ST,9.4,0.2633333333333333
252,8,2ND AVE BETWEEN COLUMBIA ST AND MARION ST,9.0,0.71875
253,8,2ND AVE BETWEEN JAMES ST AND CHERRY ST,7.0,0.5238095238095238
254,8,2ND AVE BETWEEN LENORA ST AND BLANCHARD ST,9.6,0.6444444444444445
255,8,2ND AVE BETWEEN MADISON ST AND SPRING ST,7.2,0.9666666666666668
256,8,2ND AVE BETWEEN MARION ST AND MADISON ST,6.0,0.6666666666666666
257,8,2ND AVE BETWEEN PIKE ST AND PINE ST,6.333333333333333,0.8333333333333334
258,8,2ND AVE BETWEEN PINE ST AND STEWART ST,7.5,0.8611111111111112
259,8,2ND AVE BETWEEN SENECA ST AND UNIVERSITY ST,9.8,0.6
260,8,2ND AVE BETWEEN SPRING ST AND SENECA ST,9.0,0.3333333333333333
261,8,2ND AVE BETWEEN STEWART ST AND VIRGINIA ST,13.0,0.7636363636363636
262,8,2ND AVE BETWEEN UNION ST AND PIKE ST,9.5,0.9
263,8,2ND AVE BETWEEN UNIVERSITY ST AND UNION ST,9.0,0.0
264,8,2ND AVE BETWEEN VINE ST AND CEDAR ST,12.4,0.492987012987013
265,8,2ND AVE BETWEEN VIRGINIA ST AND LENORA ST,12.75,0.5357142857142858
266,8,2ND AVE BETWEEN WALL ST AND VINE ST,15.6,0.546923076923077
267,8,2ND AVE BETWEEN YESLER WAY AND JAMES ST,5.0,0.26666666666666666
268,8,2ND AVE N BETWEEN DENNY WAY AND JOHN ST,18.666666666666668,0.19791666666666666
269,8,2ND AVE N BETWEEN JOHN ST AND THOMAS ST,10.5,0.29629629629629634
270,8,2ND AVE N BETWEEN MERCER ST AND ROY ST,16.333333333333332,0.30952380952380953
271,8,2ND AVE NE BETWEEN WOODLAWN S AVE NE AND EAST GREEN LAKE WAY N,22.0,0.7568627450980392
272,8,2ND AVE S BETWEEN S JACKSON ST AND S KING ST,22.333333333333332,0.779983660130719
273,8,2ND AVE S BETWEEN S MAIN ST AND S JACKSON ST,13.428571428571429,0.5857713714856573
274,8,2ND AVE S BETWEEN S WASHINGTON ST AND S MAIN ST,22.714285714285715,0.6572871572871574
275,8,2ND AVE W BETWEEN W HARRISON ST AND W REPUBLICAN ST,29.0,0.9833333333333334
276,8,2ND AVE W BETWEEN W REPUBLICAN ST AND W MERCER ST,21.0,0.9027777777777777
277,8,2ND AVE W BETWEEN W THOMAS ST AND W HARRISON ST,19.5,0.95
278,8,2ND AVE W BETWEEN WESTERN AVE W AND W THOMAS ST,15.5,0.95
279,8,30TH AVE NE BETWEEN LAKE CITY N WAY NE AND NE 125TH ST,30.0,0.5333333333333333
280,8,30TH AVE NE BETWEEN NE 120TH ST AND LAKE CITY S WAY NE,30.0,0.26666666666666666
281,8,30TH AVE NE BETWEEN NE 125TH ST AND NE 127TH ST,19.0,0.631578947368421
282,8,31ST AVE NE BETWEEN NE 120TH ST AND NE 123RD ST,17.0,0.8823529411764706
283,8,31ST AVE NE BETWEEN NE 123RD ST AND LAKE CITY WAY NE,34.0,0.6176470588235294
284,8,33RD AVE NE BETWEEN NE 125TH ST AND NE 130TH ST,88.0,0.7727272727272727
285,8,36TH AVE SW BETWEEN SW AVALON WAY AND SW OREGON ST,24.0,0.6666666666666666
286,8,36TH AVE SW BETWEEN SW OREGON ST AND SW SNOQUALMIE ST,30.0,0.8333333333333334
287,8,36TH AVE SW BETWEEN SW SNOQUALMIE ST AND SW ALASKA ST,30.0,0.9
288,8,37TH AVE S BETWEEN S EDMUNDS ST AND S FERDINAND ST,14.0,0.5375
289,8,37TH AVE S BETWEEN S FERDINAND ST AND S HUDSON ST,18.0,0.2222222222222222
290,8,37TH AVE S BETWEEN S HUDSON ST AND S DAWSON ST,15.0,0.6666666666666666
291,8,37TH AVE SW BETWEEN SW OREGON ST AND SW SNOQUALMIE ST,21.0,0.8571428571428571
292,8,37TH AVE SW BETWEEN SW SNOQUALMIE ST AND SW ALASKA ST,20.0,0.6
293,8,38TH AVE S BETWEEN S ALASKA ST AND S ANGELINE ST,30.0,0.4
294,8,38TH AVE SW BETWEEN FAUNTLEROY WAY SW AND SW ALASKA ST,23.0,0.6956521739130435
295,8,38TH AVE SW BETWEEN SW OREGON ST AND FAUNTLEROY WAY SW,6.0,0.6666666666666666
