Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code
ELEC,Group Health Olympia Medical Center,700 Lilly Rd,,Olympia,WA,98506,,360-923-7670,E,,Public,24 hours daily,,,,,1,,,,,,200-9,47.056888,-122.841752,2018/6/5,37664,2018-06-05 19:29:00 UTC,P,,,2008/1/15,,,,,NEMA520,US,,,,Public,,public,,
ELEC,Les Schwab Tires,210 State Ave NW,,Olympia,WA,98501,,360-943-0870,E,,Public - Call ahead,Store business hours; ask staff for assistance,,,,,1,,,,,,200-9,47.045903,-122.903434,2018/6/5,37667,2018-06-05 19:29:00 UTC,P,,,2008/1/15,,,,,NEMA520,US,,,,Public - Appeler à l'avance,,public,CALL,
ELEC,McDonald's,2611 Harrison Ave NW,,Olympia,WA,98502,,360-357-4445,E,,Public,24 hours daily,,,,,1,,,,,,GPS,47.045792,-122.933675,2018/6/5,37669,2018-06-05 19:29:00 UTC,P,,,2007/1/15,,,,,NEMA520,US,,,,Public,,public,,
ELEC,Washington Department of Labor & Industries - Department of Health - Department of Transportation,243 Israel Rd SE,,Tumwater,WA,98501,,360-236-3070,E,,Public,24 hours daily,,,,,1,,,,,,200-9,46.984193,-122.904856,2018/6/5,37677,2018-06-05 19:29:00 UTC,LG,,,2008/1/15,,,,,NEMA520,US,,,,Public,,public,,
ELEC,KING COUNTY DOT,1755 Highlands Dr NE,"IH P&R UNIT #1; Issaquah Park &amp; Ride lower Level, bottom of ramp
ISSAQUAH P&R #2; Lower Level
ISSAQUAH P&R #3; Lower Level
ISSAQUAH P&R #4; Lower Level
ISSAQUAH P&R #5; Lower Level
ISSAQUAH P&R 11; Lower Level
ISSAQUAH P&R 12; Lower Level",Issaquah,WA,98027,,888-758-4389,E,,Public,24 hours daily,,,,,4,7,,,ChargePoint Network,http://www.chargepoint.com/,200-9,47.545609,-122.019598,2018/10/31,38082,2018-10-31 09:03:42 UTC,,,,,,,,,J1772 NEMA520,US,,,,Public,,public,,
ELEC,UWB CASCADIA CC,18500 Campus Way NE,"NORTH DUAL 1; Just to the right as you enter the north garage.
NORTH DUAL 2; space 2313 & 2314",Bothell,WA,98011,,888-758-4389,E,,Public,24 hours daily,,,,,,4,,,ChargePoint Network,http://www.chargepoint.com/,200-8,47.760178,-122.190581,2018/10/31,38952,2018-10-31 09:03:42 UTC,,,,,,,,,J1772,US,,,,Public,,public,,
ELEC,DUVALL FIRE D45,15600 1st Ave NE,"DUVALL FIRE #1; Open to public, Corner of 1st and Stella; east parking lot.",Duvall,WA,98019,,888-758-4389,E,,Public,24 hours daily,,,,,1,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.7413216,-121.9840469,2018/10/31,38955,2018-10-31 09:03:42 UTC,,,,,,,,,J1772 NEMA520,US,,,,Public,,public,,
ELEC,WHIDBEY TELECOM,1651 Main St,"STATION 1; Open to the Public
STATION 2
STATION 3; Open to the Public",Freeland,WA,98249,,888-758-4389,E,,Public,24 hours daily,,,,,3,3,,,ChargePoint Network,http://www.chargepoint.com/,200-9,48.010088,-122.525826,2018/10/31,38956,2018-10-31 09:03:42 UTC,,,,,,,,,J1772 NEMA520,US,,,,Public,,public,,
ELEC,CITY OF REDMOND,15670 NE 85th St,CITY HALL DUAL,Redmond,WA,98052,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.6792243,-122.1299498,2018/10/31,38959,2018-10-31 09:03:42 UTC,,,,,,,,,J1772,US,,,,Public,,public,,
ELEC,BELLEVUE SQUARE,600 100th Pl NE,"BELL SQ WEST 1; 2nd level West Garage Parking Structure, next to Bell Sky 2
BELL SQ WEST 2; 2nd level of West Garage Parking Structure, at sky bridge
BELL SQ WEST 3; 2nd level, West Garage at Sky 2 entrance
BELL SQ WEST 4; 2nd level of West Garage Parking Structure, next to Bellevue
BELL SQ WEST 5; 2nd Floor, west garage at sky bridge",Bellevue,WA,98004,,888-758-4389,E,,Public,24 hours daily,,,,,5,5,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.6159973,-122.2055206,2018/10/31,38961,2018-10-31 09:03:42 UTC,,,,,,,,,J1772 NEMA520,US,,,,Public,,public,,
ELEC,LINCOLN SQUARE,700 Bellevue Way NE,"LINCLN SQ#4; Level P1 in 30 minute area but not limited to 30 minutes
LINCOLN P1 #2; P1 Level, near Lincoln Square Main Elevators
LINCOLN P1#3; Level P1 in 30 minute parking area, but not 30 minute limit",Bellevue,WA,98004,,888-758-4389,E,,Public,24 hours daily,,,,,3,3,,,ChargePoint Network,http://www.chargepoint.com/,200-9,47.616755,-122.200826,2018/10/31,38963,2018-10-31 09:03:42 UTC,,,,,,,,,J1772 NEMA520,US,,,,Public,,public,,
ELEC,BELLEVUE PLACE,800 Bellevue Way NE,"BELL PLACE 1; located at P1 Level, opposite to the Elevator
BELL PLACE 2; P1 Level, opposite to the Elevator of Bellevue Place Office ",Bellevue,WA,98004,,888-758-4389,E,,Public,24 hours daily,,,,,2,2,,,ChargePoint Network,http://www.chargepoint.com/,200-9,47.617814,-122.20067,2018/10/31,38964,2018-10-31 09:03:42 UTC,,,,,,,,,J1772 NEMA520,US,,,,Public,,public,,
ELEC,CITY OF REDMOND,18080 NE 76th St,MOC #1 PUBLIC,Redmond,WA,98052,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.6723594,-122.0990339,2018/10/31,38966,2018-10-31 09:03:42 UTC,,,,,,,,,J1772,US,,,,Public,,public,,
ELEC,WILLOWS LODGE,14580 NE 145th St,"NORTH #1; Willows Lodge/Barking Frog/The Herbfarm
SOUTH #2 ADA; Willows Lodge/Barking Frog/The Herbfarm",Woodinville,WA,98072,,888-758-4389,E,,Public,24 hours daily,,,,,2,2,,,ChargePoint Network,http://www.chargepoint.com/,200-9,47.733788,-122.146893,2018/10/31,38976,2018-10-31 09:03:42 UTC,,,,,,,,,J1772 NEMA520,US,,,,Public,,public,,
ELEC,Bellingham Nissan,1516 Iowa St,,Bellingham,WA,98229,,360-733-7300,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,,,200-9,48.755607,-122.454132,2018/7/9,39778,2018-07-09 12:13:28 UTC,P,,,2011/3/15,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,
ELEC,Advantage Nissan,5101 Auto Center Blvd,,Bremerton,WA,98312,,360-373-6300,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,,,200-9,47.562162,-122.684286,2018/7/9,39779,2018-07-09 12:13:28 UTC,P,,,2011/3/15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,
ELEC,Burien Nissan,16042 1st Ave S,,Burien,WA,98148,,206-242-7070,E,,Public - Call ahead,Dealership business hours,,,,,,2,1,,,,200-9,47.458466,-122.333257,2018/7/9,39780,2018-07-09 12:13:28 UTC,P,,,2011/3/15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,
ELEC,Campbell-Nelson Nissan,24325 Highway 99,,Edmonds,WA,98026,,425-774-2174,E,,Public - Call ahead,Dealership business hours,,,,,,2,,,,,200-8,47.77861,-122.346196,2018/7/9,39782,2018-07-09 12:13:28 UTC,P,,,2011/3/15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,
ELEC,Campbell Nissan - Everett,10500 Highway 99 S,,Everett,WA,98204,,425-347-5763,E,,Public - Call ahead,Dealership business hours,,,,,,2,,,,,GPS,47.90272982,-122.2469884,2018/7/9,39783,2018-07-09 12:13:28 UTC,P,,,2011/3/15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,
ELEC,Olympia Nissan,2220 Carriage Dr SW,,Olympia,WA,98502,,360-352-8558,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,,,200-9,47.031067,-122.930247,2018/7/9,39786,2018-07-09 12:13:28 UTC,P,,,2011/3/15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,
ELEC,Bill Robertson Nissan,928 N 28th Ave,,Pasco,WA,99301,,509-545-3000,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,,,200-9,46.236607,-119.128998,2018/7/9,39787,2018-07-09 12:13:28 UTC,P,,,2011/3/15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,
ELEC,Dan Wilder Nissan,53 Jetta Way,,Port Angeles,WA,98362,,360-452-9268,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,,,200-9,48.102863,-123.342273,2018/7/9,39788,2018-07-09 12:13:28 UTC,P,,,2011/3/15,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,
ELEC,Puyallup Nissan,101 Valley Ave NW,,Puyallup,WA,98371,,253-848-4507,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,,,200-9,47.207367,-122.294997,2018/7/9,39789,2018-07-09 12:13:28 UTC,P,,,2011/3/15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,
ELEC,CARCHARGING,16015 Cleveland St,"RED 160; Second Parking Garage in East Building, Level P1 ",Redmond,WA,98052,,888-758-4389,E,,Public,24 hours daily,,,,,1,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.6743736,-122.1271667,2018/10/31,39790,2018-10-31 09:03:42 UTC,,,,,,,,,J1772 NEMA520,US,,,,Public,,public,,
ELEC,Younker Nissan,3401 E Valley Rd,,Renton,WA,98058,,425-251-8100,E,,Public,Dealership business hours,,,,,,1,1,,,,GPS,47.448281,-122.219286,2018/7/9,39791,2018-07-09 12:13:28 UTC,P,,,2011/3/15,,,,,CHADEMO J1772,US,,,,Public,,public,,
ELEC,Wendle Nissan,8900 N Division St,,Spokane,WA,99218,,509-468-9000,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,,,200-9,47.739021,-117.409937,2018/7/9,39795,2018-07-09 12:13:28 UTC,P,,,2011/3/15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,
ELEC,Dave Smith Nissan - Spokane,6901 E Sprague Ave,,Spokane Valley,WA,99212,,509-924-6242,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,,,200-9,47.657264,-117.312518,2018/7/9,39796,2018-07-09 12:13:28 UTC,P,,,2011/3/15,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,
ELEC,Tacoma Nissan,4030 S Tacoma Way,,Tacoma,WA,98409,,253-473-6200,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,,,200-9,47.21978,-122.48576,2018/7/9,39797,2018-07-09 12:13:28 UTC,P,,,2011/3/15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,
ELEC,Alan Webb Nissan,3608 NE Auto Mall Dr,,Vancouver,WA,98662,,360-892-9004,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,,,200-9,45.648094,-122.597954,2018/7/9,39798,2018-07-09 12:13:28 UTC,P,,,2011/3/15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,
ELEC,O'Brien Nissan,1395 Dalles Military Rd,,Walla Walla,WA,99362,,509-529-7000,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,,,200-9,46.047464,-118.353406,2018/7/9,39799,2018-07-09 12:13:28 UTC,P,,,2011/3/15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,
ELEC,KEY CENTER,601 108th Ave NE,"STATION 1; Past loading dock on ramp between floors A and B
STATION 2; Past loading dock on ramp between floors A and B
STATION 3",Bellevue,WA,98004,,888-758-4389,E,,Public,24 hours daily,,,,,,6,,,ChargePoint Network,http://www.chargepoint.com/,200-9,47.615846,-122.196881,2018/10/31,40383,2018-10-31 09:03:42 UTC,,,,,,,,,J1772,US,,,,Public,,public,,
ELEC,KRC SKYLINE,10900 NE 4th St,"SKYLINE #1; From 110th, P1 of garage on right as you enter garage
SKYLINE #2; From 110th, P1 of Garage on right as you enter garage
SKYLINE #3; From 110th, P1 of garage on right as you enter garage",Bellevue,WA,98004,,888-758-4389,E,,Public,24 hours daily,,,,,3,3,,,ChargePoint Network,http://www.chargepoint.com/,200-9,47.614105,-122.194486,2018/10/31,40384,2018-10-31 09:03:42 UTC,,,,,,,,,J1772 NEMA520,US,,,,Public,,public,,
ELEC,Snohomish County - Campus Garage,3000 Rockefeller Ave,,Everett,WA,98201,,503-892-7345,E,,Public,6am-6pm M-F,,,,,,8,,,,,200-9,47.97725,-122.206369,2018/6/5,40772,2018-06-05 19:29:00 UTC,LG,,,2011/8/1,,,,,J1772,US,,,,Public,,public,,
ELEC,CITY OF EDMONDS,121 5th Ave N,CITY HALL #1; Enter from the alley running parallel between 4th @ 5th Av,Edmonds,WA,98020,,888-758-4389,E,,Public,24 hours daily,,,,,1,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.8111687,-122.3773117,2018/10/31,41300,2018-10-31 09:03:42 UTC,,,,,,,,,J1772 NEMA520,US,,,,Public,,public,,
ELEC,CITY OF EDMONDS,600 3rd Ave. S,CITY PARK #1; Enter park at 3rd S & Erben Dr. ,Edmonds,WA,98020,,888-758-4389,E,,Public,24 hours daily,,,,,1,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.8057442,-122.3825989,2018/10/31,41301,2018-10-31 09:03:42 UTC,,,,,,,,,J1772 NEMA520,US,,,,Public,,public,,
ELEC,CITY OF EDMONDS,250 5th Ave N,"PUBLIC SAFETY 1; Located in SW corner of Public Safety parking lot 
PUBLIC SAFETY 2; Located in SW corner of Public Safety parking lot",Edmonds,WA,98020,,888-758-4389,E,,Public,24 hours daily,,,,,2,2,,,ChargePoint Network,http://www.chargepoint.com/,200-9,47.812011,-122.375477,2018/10/31,41302,2018-10-31 09:03:42 UTC,,,,,,,,,J1772 NEMA520,US,,,,Public,,public,,
ELEC,UNIVERSITYPLACE,3610 Drexler Drive W.,"UPTOWN CENTER 1; University Place Civic Center & Library lower level
UPTOWN CENTER 2; Lower Level University Place Civic Center & Library
UPTOWN CENTER 3; Lower Level University Place Civic Center & Library
UPTOWN CENTER 4; Lower level University Place Civic Center & Library
UPTOWN CENTER 5; Lower level University Place Civic Center & Library
UPTOWN CENTER 6; Lower level University Place Civic Center & Library",University Place,WA,98466,,888-758-4389,E,,Public,24 hours daily,,,,,,6,,,ChargePoint Network,http://www.chargepoint.com/,200-8,47.225745,-122.535591,2018/10/31,41307,2018-10-31 09:03:42 UTC,,,,,,,,,J1772,US,,,,Public,,public,,
ELEC,Rainbow Parking - Seattle Metropolitan Credit Union,214 Columbia St,Located in the garage below the Credit Union.,Seattle,WA,98104,,206-682-2991,E,,Public,Garage business hours; see the valet for access,,,,,,2,,,,,200-8,47.604115,-122.332907,2017/6/2,41579,2018-10-26 19:10:32 UTC,P,,,2011/10/1,,,,,J1772,US,,,,Public,,public,,
ELEC,ISSAQUAH,970 NE High St,"ZHOME #1; ZHome Project
ZHOME #2; ZHome Project",Issaquah,WA,98029,,888-758-4389,E,,Public,24 hours daily,,,,,2,2,,,ChargePoint Network,http://www.chargepoint.com/,200-9,47.544578,-122.016825,2018/10/31,41774,2018-10-31 09:03:42 UTC,,,,,,,,,J1772 NEMA520,US,,,,Public,,public,,
ELEC,CITY OF SEATAC,4800 S 188th St,CITY HALL 1; -,SeaTac,WA,98188,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,200-9,47.4340208,-122.2731834,2018/10/31,41776,2018-10-31 09:03:42 UTC,,,,,,,,,J1772,US,,,,Public,,public,,
ELEC,TPU,3628 S 35th St,"TPU #7; -
TPU HQ DUAL #2
TPU-EVSE #7; Union &amp; S 35th St",Tacoma,WA,98409,,888-758-4389,E,,Public,24 hours daily,,,,,1,5,,,ChargePoint Network,http://www.chargepoint.com/,200-9,47.227983,-122.4851,2018/10/31,41780,2018-10-31 09:03:42 UTC,,,,,,,,,J1772 NEMA520,US,,,,Public,,public,,
ELEC,URBAN WATERS,326 E D St,URBAN WATERS #1,Tacoma,WA,98421,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.2592719,-122.4344668,2018/10/31,42047,2018-10-31 09:03:42 UTC,,,,,,,,,J1772,US,,,,Public,,public,,
ELEC,City of Tacoma - Park Plaza North,923 Commerce St,Park Plaza garage,Tacoma,WA,98402,,253-627-4401,E,,Public,24 hours daily,,,,,,4,,,,,200-8,47.254354,-122.439616,2018/6/5,42051,2018-06-05 19:29:00 UTC,LG,,,2011/11/30,,,,,J1772,US,,,,Public,,public,,
ELEC,BELLEVUE,16000 NE 10th St,"CROSSROADS CC 2
CROSSROADS CC; Crossroads Community Center",Bellevue,WA,98008,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,200-8,47.618786,-122.122466,2018/10/31,42224,2018-10-31 09:03:42 UTC,,,,,,,,,J1772,US,,,,Public,,public,,
ELEC,BELLEVUE,999 164th Ave NE,"X-ROADS PARK #1; Crossroads International park off 164th Ave
X-ROADS PARK #2; off 164th Ave, crossroads International Park",Bellevue,WA,98008,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,200-8,47.618573,-122.121913,2018/10/31,42225,2018-10-31 09:03:42 UTC,,,,,,,,,J1772,US,,,,Public,,public,,
ELEC,BELLEVUE,14509 SE Newport Way,"SBCC #1
SBCC #2; At the community center",Bellevue,WA,98006,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,200-9,47.568851,-122.145621,2018/10/31,42228,2018-10-31 09:03:42 UTC,,,,,,,,,J1772,US,,,,Public,,public,,
ELEC,EASTGATE OFFICE,15395 SE 30th Pl,"EASTGATE DUAL 1; SE CForner around back.
EASTGATE DUAL 2; South East Corner, just around back.",Bellevue,WA,98007,,888-758-4389,E,,Public,24 hours daily,,,,,,4,,,ChargePoint Network,http://www.chargepoint.com/,200-8,47.582366,-122.135279,2018/10/31,42229,2018-10-31 09:03:42 UTC,,,,,,,,,J1772,US,,,,Public,,public,,
ELEC,PLAZA CENTER,10900 NE 8th St,"PC STATION #1; East Side of Building
PC STATION #2; East Side of Building",Bellevue,WA,98004,,888-758-4389,E,,Public,24 hours daily,,,,,2,2,,,ChargePoint Network,http://www.chargepoint.com/,200-9,47.617767,-122.194272,2018/10/31,42230,2018-10-31 09:03:42 UTC,,,,,,,,,J1772 NEMA520,US,,,,Public,,public,,
ELEC,SUNSET NORTH,3180 139th Ave SE,"STATION #1
STATION #2; Just inside garage at main enterance on 139th",Bellevue,WA,98005,,888-758-4389,E,,Public,24 hours daily,,,,,2,2,,,ChargePoint Network,http://www.chargepoint.com/,200-9,47.581818,-122.154091,2018/10/31,42231,2018-10-31 09:03:42 UTC,,,,,,,,,J1772 NEMA520,US,,,,Public,,public,,
ELEC,CITY OF EDMONDS,552 Main St.,MAIN ST STATION; Corner of 6th and Main,Edmonds,WA,98020,,888-758-4389,E,,Public,24 hours daily,,,,,1,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.8104553,-122.3751526,2018/10/31,42232,2018-10-31 09:03:42 UTC,,,,,,,,,J1772 NEMA520,US,,,,Public,,public,,
ELEC,ELLENSBURG,207 N Main St,CHARGER #3,Ellensburg,WA,98926,,888-758-4389,E,,Public,24 hours daily,,,,,1,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,46.9939804,-120.5491791,2018/10/31,42233,2018-10-31 09:03:42 UTC,,,,,,,,,J1772 NEMA520,US,,,,Public,,public,,
ELEC,KIRKLAND,123 5th Ave,CITY HALL 1; North east side of City Hall,Kirkland,WA,98033,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.6784759,-122.2068063,2018/10/31,42237,2018-10-31 09:03:42 UTC,,,,,,,,,J1772,US,,,,Public,,public,,
ELEC,KIRKLAND,308 Kirkland Ave,"LIBRARY DUAL 2; -
LIBRARY SOUTH 1; Just to the right of the garage entrance.",Kirkland,WA,98033,,888-758-4389,E,,Public,24 hours daily,,,,,,4,,,ChargePoint Network,http://www.chargepoint.com/,200-8,47.67567,-122.202069,2018/10/31,42238,2018-10-31 09:03:42 UTC,,,,,,,,,J1772,US,,,,Public,,public,,
ELEC,SAMMAMISH,801 228th Ave SE,"CITY HALL LOT 1; NE Corner of City Hall
CITY HALL LOT 2; NE Corner of City Hall
GARAGE 1; Parking Garage
GARAGE 2; Parking Garage",Sammamish,WA,98075,,888-758-4389,E,,Public,24 hours daily,,,,,,8,,,ChargePoint Network,http://www.chargepoint.com/,200-9,47.601447,-122.037974,2018/10/31,42240,2018-10-31 09:03:42 UTC,,,,,,,,,J1772,US,,,,Public,,public,,
ELEC,NW WA JATC,306 Anderson Rd,"CARPORT #1; Charger is located under solar carport
CARPORT #2; Charger is located under solar carport",Mt Vernon,WA,98273,,888-758-4389,E,,Public,24 hours daily,,,,,2,2,,,ChargePoint Network,http://www.chargepoint.com/,200-9,48.398917,-122.333623,2018/10/31,42657,2018-10-31 09:03:42 UTC,,,,,,,,,J1772 NEMA520,US,,,,Public,,public,,
ELEC,PCC NATURAL,9803 Edmonds Way,PCC EDMONDS #1; Available for charging 24/7,Edmonds,WA,98020,,888-758-4389,E,,Public,24 hours daily,,,,,1,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.7911263,-122.366066,2018/10/31,43298,2018-10-31 09:03:42 UTC,,,,,,,,,J1772 NEMA520,US,,,,Public,,public,,
ELEC,IBEW LOCAL 46,19802 62nd Ave S,IBEW LOCAL 46 1; West side of IBEW Local 46,Kent,WA,98032,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.4242217,-122.2566188,2018/10/31,43299,2018-10-31 09:03:42 UTC,,,,,,,,,J1772,US,,,,Public,,public,,
ELEC,VALLEY MED CTR,400 S 43rd St,"MAIN LOT #5; -
MAIN LOT #6; -",Renton,WA,98055,,888-758-4389,E,,Public,24 hours daily,,,,,,4,,,ChargePoint Network,http://www.chargepoint.com/,200-8,47.441294,-122.214247,2018/10/31,43303,2018-10-31 09:03:42 UTC,,,,,,,,,J1772,US,,,,Public,,public,,
ELEC,VALLEY MED CTR,4033 Talbot Rd S,"N GARAGE #1; Ground Floor SW Corner
N GARAGE #2; Ground Floor SW Corner",Renton,WA,98055,,888-758-4389,E,,Public,24 hours daily,,,,,,4,,,ChargePoint Network,http://www.chargepoint.com/,200-8,47.441038,-122.213065,2018/10/31,43305,2018-10-31 09:03:42 UTC,,,,,,,,,J1772,US,,,,Public,,public,,
ELEC,MADISON MARQUET,600 Pine St,"STATION 1
STATION 2
STATION 3
STATION 4
STATION 5
STATION 6
STATION 7",Seattle,WA,98101,,888-758-4389,E,,Public,24 hours daily,,,,,,7,,,ChargePoint Network,http://www.chargepoint.com/,200-9,47.6126,-122.3347,2018/10/31,43306,2018-10-31 09:03:42 UTC,,,,,,,,,J1772,US,,,,Public,,public,,
